,goods_no,est_no,image,point_yn
82,816524,13463057,/data/estimate/816524_0/gallery_5fc6635c5c7cf.jpg,N
83,1672043,13463092,/data/estimate/1672043_0/gallery_5fc6639ea251d.jpg,N
84,371179,13463411,/data/estimate/371179_0/gallery_5fc665874729e.jpg,N
85,1678278,13463529,/data/estimate/1678278_0/gallery_5fc6663cc64b9.jpg,N
86,1641558,13463568,/data/estimate/1641558_0/gallery_5fc6668077c4f.jpg,N
87,1551889,13463612,/data/estimate/1551889_0/gallery_5fc666c7996d1.jpg,N
88,1094520,13463705,/data/estimate/1094520_0/gallery_5fc6676624448.jpg,N
89,1182360,13463764,/data/estimate/1182360_0/gallery_5fc667c8c8e06.jpg,N
90,661273,13463768,/data/estimate/661273_0/gallery_5fc667cde4626.jpg,N
91,1654253,13463847,/data/estimate/1654253_0/gallery_5fc6685b2ceb8.jpg,N
92,1222414,13463911,/data/estimate/1222414_0/gallery_5fc668ce37265.jpg,N
93,1294690,13463973,/data/estimate/1294690_0/gallery_5fc6695c368aa.jpg,N
94,1291017,13464048,/data/estimate/1291017_0/gallery_5fc669f3baeb9.jpg,N
95,1408513,13464052,/data/estimate/1408513_0/gallery_5fc66ba668cb6.jpg,N
96,1149328,13464085,/data/estimate/1149328_0/gallery_5fc66a4114dd0.jpg,N
97,1573215,13464089,/data/estimate/1573215_0/gallery_5fc66a4a4a612.jpg,N
98,941799,13464098,/data/estimate/941799_0/gallery_5fc66a59e696e.jpg,N
99,1663893,13464194,/data/estimate/1663893_0/gallery_5fc66b2bb0976.jpg,N
100,1663893,13464194,/data/estimate/1663893_0/gallery_5fc66b2c8cf1f.jpg,N
101,1590036,13464201,/data/estimate/1590036_0/gallery_5fc66b460444d.jpg,N
102,1590036,13464201,/data/estimate/1590036_0/gallery_5fc66b4534249.jpg,N
103,1686030,13464206,/data/estimate/1686030_0/gallery_5fc66b544bd6a.jpg,N
104,1297269,13464288,/data/estimate/1297269_0/gallery_5fc66bfe216aa.jpg,N
105,1669572,13464352,/data/estimate/1669572_0/gallery_5fc66c9d48b8e.jpg,N
106,656050,13464366,/data/estimate/656050_0/gallery_5fc66cba21f87.jpg,N
107,1622037,13464420,/data/estimate/1622037_0/gallery_5fc66d3cbd470.jpg,N
108,991339,13464471,/data/estimate/991339_0/gallery_5fc66dbf611e3.jpg,N
109,1127973,13464536,/data/estimate/1127973_0/gallery_5fca1304da5a4.jpg,N
110,1127973,13464536,/data/estimate/1127973_0/gallery_5fca130620c11.jpg,N
111,1127973,13464536,/data/estimate/1127973_0/gallery_5fca13075ba47.jpg,N
112,1127973,13464536,/data/estimate/1127973_0/gallery_5fca1302ded64.jpg,N
113,1127973,13464536,/data/estimate/1127973_0/gallery_5fca130840d0e.jpg,N
114,1127973,13464536,/data/estimate/1127973_0/gallery_5fca1303da462.jpg,N
115,983341,13464625,/data/estimate/983341_0/gallery_5fc66f4246bcd.jpg,N
116,938746,13464671,/data/estimate/938746_0/gallery_5fc66fba078a2.jpg,N
117,1583547,13464752,/data/estimate/1583547_0/gallery_5fc670bff3da3.jpg,N
118,1689525,13464846,/data/estimate/1689525_0/gallery_5fc6719b20607.jpg,N
119,464210,13464851,/data/estimate/464210_0/gallery_5fc671a5e1aec.jpg,N
120,464210,13464851,/data/estimate/464210_0/gallery_5fc671a6846d1.jpg,N
121,1563623,13464880,/data/estimate/1563623_0/gallery_5fc671f433e2a.jpg,N
122,998051,13464888,/data/estimate/998051_0/gallery_5fc672070612c.jpg,N
123,1510822,13465029,/data/estimate/1510822_0/gallery_5fc673dce6698.jpg,N
124,265791,13465116,/data/estimate/265791_0/gallery_5fc674fbe8439.jpg,N
125,652292,13465170,/data/estimate/652292_0/gallery_5fc6759218de1.jpg,N
126,957401,13465220,/data/estimate/957401_0/gallery_5fc6762861c74.jpg,N
127,1037219,13465273,/data/estimate/1037219_0/gallery_5fc676b08831d.jpg,N
128,484461,13465302,/data/estimate/484461_0/gallery_5fc676ea936cc.jpg,N
129,1144625,13465333,/data/estimate/1144625_0/gallery_5fc6773193600.jpg,N
130,1634650,13465346,/data/estimate/1634650_0/gallery_5fc6775126cc7.jpg,N
131,1589016,13465378,/data/estimate/1589016_0/gallery_5fc677a261157.jpg,N
132,1506155,13465448,/data/estimate/1506155_0/gallery_5fc67875d3d1c.jpg,N
133,1163605,13465487,/data/estimate/1163605_0/gallery_5fc678fa89377.jpg,N
134,1533236,13465699,/data/estimate/1533236_0/gallery_5fc67bb98b513.jpg,N
135,1269090,13465762,/data/estimate/1269090_0/gallery_5fc67c55b91a5.jpg,N
136,705441,13465787,/data/estimate/705441_0/gallery_5fc67c9f6428a.jpg,N
137,1607722,13465801,/data/estimate/1607722_0/gallery_5fc67ccb7c7cb.jpg,N
138,1539598,13465892,/data/estimate/1539598_0/gallery_5fc67e6c8bf33.jpg,N
139,1687102,13466116,/data/estimate/1687102_0/gallery_5fc6828d210b5.jpg,N
140,1094748,13466132,/data/estimate/1094748_0/gallery_5fc682fd28a4c.jpg,N
141,1094748,13466132,/data/estimate/1094748_0/gallery_5fc682fe540c9.jpg,N
142,1094748,13466132,/data/estimate/1094748_0/gallery_5fc682ff3f30f.jpg,N
143,1094748,13466132,/data/estimate/1094748_0/gallery_5fc682ffe6f32.jpg,N
144,1111127,13466258,/data/estimate/1111127_0/gallery_5fc685c98aaf5.jpg,N
145,836980,13466264,/data/estimate/836980_0/gallery_5fc685e1554f9.jpg,N
146,1565687,13466336,/data/estimate/1565687_0/gallery_5fc68757a6062.jpg,N
147,1565687,13466336,/data/estimate/1565687_0/gallery_5fc687585fd09.jpg,N
148,1565687,13466336,/data/estimate/1565687_0/gallery_5fc687563d73f.jpg,N
149,1565687,13466336,/data/estimate/1565687_0/gallery_5fc68756e456e.jpg,N
150,454426,13466379,/data/estimate/454426_0/gallery_5fc6884d4074c.jpg,N
151,1609224,13466619,/data/estimate/1609224_0/gallery_5fc68eee7a857.jpg,N
152,1515895,13466666,/data/estimate/1515895_0/gallery_5fc69027ad83e.jpg,N
153,1406505,13466678,/data/estimate/1406505_0/gallery_5fc6906447317.jpg,N
154,1560753,13466682,/data/estimate/1560753_0/gallery_5fc690825a556.jpg,N
155,658030,13466907,/data/estimate/658030_0/gallery_5fc69804d68a1.jpg,N
156,1669572,13466916,/data/estimate/1669572_0/gallery_5fc6985b336ca.jpg,N
157,1593755,13467078,/data/estimate/1593755_0/gallery_5fc6a0292e528.jpg,N
158,1639232,13467081,/data/estimate/1639232_0/gallery_5fc6a08ecd26e.jpg,N
159,625374,13467214,/data/estimate/625374_0/gallery_5fc6a9c4c385f.jpg,N
160,1545331,13467556,/data/estimate/1545331_0/gallery_5fc6bcf3839f6.jpg,N
161,186610,13467589,/data/estimate/186610_0/gallery_5fc6bedef14c7.jpg,N
162,1590334,13467613,/data/estimate/1590334_0/gallery_5fc6bf7b5d601.jpg,N
163,1590334,13467613,/data/estimate/1590334_0/gallery_5fc6bf7c6b5a0.jpg,N
164,1128558,13467642,/data/estimate/1128558_0/gallery_5fc6c070a6d2c.jpg,N
165,1288848,13467697,/data/estimate/1288848_0/gallery_5fc6c2891fa7f.jpg,N
166,836981,13467824,/data/estimate/836981_0/gallery_5fc6c69821460.jpg,N
167,1533565,13467847,/data/estimate/1533565_0/gallery_5fc6c754144ae.jpg,N
168,1149125,13467879,/data/estimate/1149125_0/gallery_5fc6c7dc1d8fb.jpg,N
169,1494177,13467958,/data/estimate/1494177_0/gallery_5fc6c8fa7ebf0.jpg,N
170,1606274,13468030,/data/estimate/1606274_0/gallery_5fc6ca0b72ee0.jpg,N
171,1479276,13468097,/data/estimate/1479276_0/gallery_5fc6caf724daf.jpg,N
172,1073545,13468129,/data/estimate/1073545_0/gallery_5fc6cb72af320.jpg,N
173,1520889,13468232,/data/estimate/1520889_0/gallery_5fc6cd4e6d977.jpg,N
174,967320,13468500,/data/estimate/967320_0/gallery_5fc6d1ce5a4e8.jpg,N
175,996233,13468563,/data/estimate/996233_0/gallery_5fc6d2cf0bd0b.jpg,N
176,1562116,13468566,/data/estimate/1562116_0/gallery_5fc6d2df184f7.jpg,N
177,1562116,13468566,/data/estimate/1562116_0/gallery_5fc6d2dfaca16.jpg,N
178,866217,13468597,/data/estimate/866217_0/gallery_5fc6d37100f18.jpg,N
179,866217,13468597,/data/estimate/866217_0/gallery_5fc6d371a9eb7.jpg,N
180,996233,13468618,/data/estimate/996233_0/gallery_5fc6d3c4a5562.jpg,N
181,967320,13468636,/data/estimate/967320_0/gallery_5fc6d420be0e6.jpg,N
182,1687961,13468656,/data/estimate/1687961_0/gallery_5fc6d46ba2209.jpg,N
183,1160367,13468660,/data/estimate/1160367_0/gallery_5fc6d478e24b2.jpg,N
184,1173385,13468692,/data/estimate/1173385_0/gallery_5fc6d4e669663.jpg,N
185,1386551,13468697,/data/estimate/1386551_0/gallery_5fc6d50035213.jpg,N
186,577636,13468714,/data/estimate/577636_0/gallery_5fc6d55143909.jpg,N
187,1490730,13468718,/data/estimate/1490730_0/gallery_5fc6d55c54247.jpg,N
188,1594244,13468754,/data/estimate/1594244_0/gallery_5fc6d5e48147b.jpg,N
189,1483533,13468917,/data/estimate/1483533_0/gallery_5fc6d7f8994ca.jpg,N
190,1133671,13469013,/data/estimate/1133671_0/gallery_5fc6d8e62cbfd.jpg,N
191,1246244,13469037,/data/estimate/1246244_0/gallery_5fc6d95d10c26.jpg,N
192,1246244,13469037,/data/estimate/1246244_0/gallery_5fc6d95c50c84.jpg,N
193,1100326,13469062,/data/estimate/1100326_0/gallery_5fc6d9cf20130.jpg,N
194,1469674,13469063,/data/estimate/1469674_0/gallery_5fc6d9d359cd3.jpg,N
195,1208839,13469073,/data/estimate/1208839_0/gallery_5fc6d9f439f85.jpg,N
196,1026367,13469074,/data/estimate/1026367_0/gallery_5fc6d9f659a1e.jpg,N
197,1116155,13469148,/data/estimate/1116155_0/gallery_5fc6db01d417c.jpg,N
198,1425367,13469218,/data/estimate/1425367_0/gallery_5fc6dbae8c05a.jpg,N
199,1425367,13469218,/data/estimate/1425367_0/gallery_5fc6dbad13aa7.jpg,N
200,1425367,13469218,/data/estimate/1425367_0/gallery_5fc6dbadce74e.jpg,N
201,1551706,13469322,/data/estimate/1551706_0/gallery_5fc6dcfebe780.jpg,N
202,977152,13469434,/data/estimate/977152_0/gallery_5fc6de2c7730e.jpg,N
203,1527487,13469544,/data/estimate/1527487_0/gallery_5fc6df65099d0.jpg,N
204,1669572,13469556,/data/estimate/1669572_0/gallery_5fc6df796610c.jpg,N
205,1535332,13469659,/data/estimate/1535332_0/gallery_5fc6e04ac4cda.jpg,N
206,1535332,13469659,/data/estimate/1535332_0/gallery_5fc6e04bb3f96.jpg,N
207,1535332,13469659,/data/estimate/1535332_0/gallery_5fc6e04cb80f2.jpg,N
208,1535332,13469659,/data/estimate/1535332_0/gallery_5fc6e0491c3da.jpg,N
209,1535332,13469659,/data/estimate/1535332_0/gallery_5fc6e049df72c.jpg,N
210,1631913,13469668,/data/estimate/1631913_0/gallery_5fc6e073ef14c.jpg,N
211,734085,13469707,/data/estimate/734085_0/gallery_5fc6e0d2f2590.jpg,N
212,497858,13469750,/data/estimate/497858_0/gallery_5fc6e141b0109.jpg,N
213,1290974,13469990,/data/estimate/1290974_0/gallery_5fc6e370589f2.jpg,N
214,1688909,13470073,/data/estimate/1688909_0/gallery_5fc6e4b291089.jpg,N
215,1545863,13470189,/data/estimate/1545863_0/gallery_5fc6e61505936.jpg,N
216,1507321,13470282,/data/estimate/1507321_0/gallery_5fc6e710e709e.jpg,N
217,1505906,13470287,/data/estimate/1505906_0/gallery_5fc6e7182ebbf.jpg,N
218,1527488,13470352,/data/estimate/1527488_0/gallery_5fc6e7c0b1d77.jpg,N
219,1272823,13470369,/data/estimate/1272823_0/gallery_5fc6e7e7b1c34.jpg,N
220,1142323,13470473,/data/estimate/1142323_0/gallery_5fc6e8e266f93.jpg,N
221,1204019,13470571,/data/estimate/1204019_0/gallery_5fc6e9d2373ef.jpg,N
222,1602239,13470597,/data/estimate/1602239_0/gallery_5fc6ea0129097.jpg,N
223,1582504,13470671,/data/estimate/1582504_0/gallery_5fc6eaaf85dc3.jpg,N
224,854331,13471065,/data/estimate/854331_0/gallery_5fc6ed5a2e4e5.jpg,N
225,1329588,13471462,/data/estimate/1329588_0/gallery_5fc6f0a9ad4bd.jpg,N
226,1542079,13471563,/data/estimate/1542079_0/gallery_5fc6f17a829ae.jpg,N
227,1118803,13471584,/data/estimate/1118803_0/gallery_5fc6f19498af9.jpg,N
228,1536075,13471612,/data/estimate/1536075_0/gallery_5fc6f1c323f1d.jpg,N
229,1374495,13471657,/data/estimate/1374495_0/gallery_5fc6f21780746.jpg,N
230,1094520,13471676,/data/estimate/1094520_0/gallery_5fc6f23a80b26.jpg,N
231,1609224,13471707,/data/estimate/1609224_0/gallery_5fc6f2772942e.jpg,N
232,1563450,13471859,/data/estimate/1563450_0/gallery_5fc6f39a5f66c.jpg,N
233,1339555,13471910,/data/estimate/1339555_0/gallery_5fc6f3e596d6a.jpg,N
234,1339555,13471910,/data/estimate/1339555_0/gallery_5fc6f3e6aa06d.jpg,N
235,1132342,13471921,/data/estimate/1132342_0/gallery_5fc6f40076db2.jpg,N
236,1638373,13471970,/data/estimate/1638373_0/gallery_5fc6f4724667d.jpg,N
237,676698,13472019,/data/estimate/676698_0/gallery_5fc6f4c59b9b5.jpg,N
238,1634099,13472037,/data/estimate/1634099_0/gallery_5fc6f4f13bb96.jpg,N
239,746157,13472084,/data/estimate/746157_0/gallery_5fc6f54b29f98.jpg,N
240,1253818,13472319,/data/estimate/1253818_0/gallery_5fc6f6ebe9703.jpg,N
241,1582573,13472435,/data/estimate/1582573_0/gallery_5fc6f7d286edc.jpg,N
242,1563589,13472438,/data/estimate/1563589_0/gallery_5fc6f7d739816.jpg,N
243,1559528,13472484,/data/estimate/1559528_0/gallery_5fc6f81b537ed.jpg,N
244,1583547,13472489,/data/estimate/1583547_0/gallery_5fc6f821336d0.jpg,N
245,983818,13472492,/data/estimate/983818_0/gallery_5fc6f826f0852.jpg,N
246,983818,13472549,/data/estimate/983818_0/gallery_5fc6f8646c68f.jpg,N
247,1576268,13472916,/data/estimate/1576268_0/gallery_5fc6fa3ad5dc1.jpg,N
248,1090501,13472982,/data/estimate/1090501_0/gallery_5fc6fab3e637a.jpg,N
249,1446805,13473014,/data/estimate/1446805_0/gallery_5fc6faec1b879.jpg,N
250,1612021,13473021,/data/estimate/1612021_0/gallery_5fc6faf5ccc2a.jpg,N
251,909270,13473071,/data/estimate/909270_0/gallery_5fc6fb4a04c56.jpg,N
252,909270,13473071,/data/estimate/909270_0/gallery_5fc6fb4a8186b.jpg,N
253,1639756,13473235,/data/estimate/1639756_0/gallery_5fc6fc37e1677.jpg,N
254,1582120,13473291,/data/estimate/1582120_0/gallery_5fc6fc8d9578d.jpg,N
255,768136,13473322,/data/estimate/768136_0/gallery_5fc6fcaf79e69.jpg,N
256,1549514,13473487,/data/estimate/1549514_0/gallery_5fc6fdaacec27.jpg,N
257,1470372,13473521,/data/estimate/1470372_0/gallery_5fc6fdf99f1ec.jpg,N
258,1124987,13473554,/data/estimate/1124987_0/gallery_5fc6fe2f7f554.jpg,N
259,1124987,13473554,/data/estimate/1124987_0/gallery_5fc6fe30b8bf3.jpg,N
260,1213655,13473578,/data/estimate/1213655_0/gallery_5fc6fe53d31ae.jpg,N
261,1145380,13473613,/data/estimate/1145380_0/gallery_5fc6fe9a48e9b.jpg,N
262,1265833,13473637,/data/estimate/1265833_0/gallery_5fc6fec144aeb.jpg,N
263,1603549,13473664,/data/estimate/1603549_0/gallery_5fc6feeb7d9f5.jpg,N
264,1173366,13473718,/data/estimate/1173366_0/gallery_5fc6ff4b17e46.jpg,N
265,1161479,13473751,/data/estimate/1161479_0/gallery_5fc6ff9ddd74a.jpg,N
266,1669513,13473804,/data/estimate/1669513_0/gallery_5fc6ffea009ba.jpg,N
267,1279295,13473814,/data/estimate/1279295_0/gallery_5fc6fff0aae43.jpg,N
268,1367673,13473903,/data/estimate/1367673_0/gallery_5fc70089d3c27.jpg,N
269,912315,13474082,/data/estimate/912315_0/gallery_5fc701af537f8.jpg,N
270,1149329,13474125,/data/estimate/1149329_0/gallery_5fc701fe34115.jpg,N
271,1602240,13474423,/data/estimate/1602240_0/gallery_5fc70436e084b.jpg,N
272,960398,13474431,/data/estimate/960398_0/gallery_5fc704433a186.jpg,N
273,960398,13474431,/data/estimate/960398_0/gallery_5fc7044438953.jpg,N
274,1571030,13474432,/data/estimate/1571030_0/gallery_5fc7044b8bcc7.jpg,N
275,827198,13474448,/data/estimate/827198_0/gallery_5fc70467d2ee9.jpg,N
276,316699,13474509,/data/estimate/316699_0/gallery_5fc704cf096a7.jpg,N
277,1285416,13474524,/data/estimate/1285416_0/gallery_5fc704e563c8e.jpg,N
278,850153,13474559,/data/estimate/850153_0/gallery_5fc70523cb53b.jpg,N
279,1521911,13474567,/data/estimate/1521911_0/gallery_5fc7052e71977.jpg,N
280,1538777,13474687,/data/estimate/1538777_0/gallery_5fc7062916207.jpg,N
281,1123641,13474850,/data/estimate/1123641_0/gallery_5fc707430ec56.jpg,N
282,876284,13474960,/data/estimate/876284_0/gallery_5fc708189748c.jpg,N
283,1514236,13475109,/data/estimate/1514236_0/gallery_5fc7091aecdcf.jpg,N
284,1222013,13475168,/data/estimate/1222013_0/gallery_5fc70975e138d.jpg,N
285,423425,13475236,/data/estimate/423425_0/gallery_5fc709dedbc81.jpg,N
286,740302,13475272,/data/estimate/740302_0/gallery_5fc70a23f1ddc.jpg,N
287,311052,13475286,/data/estimate/311052_0/gallery_5fc70a386c18b.jpg,N
288,954594,13475313,/data/estimate/954594_0/gallery_5fc70a680e51d.jpg,N
289,954594,13475313,/data/estimate/954594_0/gallery_5fc70a666f66c.jpg,N
290,954594,13475313,/data/estimate/954594_0/gallery_5fc70a6768e09.jpg,N
291,1375969,13475323,/data/estimate/1375969_0/gallery_5fc70a7637603.jpg,N
292,1645870,13475506,/data/estimate/1645870_0/gallery_5fc70ba315ed4.jpg,N
293,1052871,13475578,/data/estimate/1052871_0/gallery_5fc70c07aaac8.jpg,N
294,1201419,13475643,/data/estimate/1201419_0/gallery_5fc70c6780147.jpg,N
295,1688560,13475775,/data/estimate/1688560_0/gallery_5fc70d41cd313.jpg,N
296,1688560,13475775,/data/estimate/1688560_0/gallery_5fc70d4296320.jpg,N
297,1688560,13475775,/data/estimate/1688560_0/gallery_5fc70d438e094.jpg,N
298,1639756,13475849,/data/estimate/1639756_0/gallery_5fc70daf1e5b4.jpg,N
299,1554222,13475872,/data/estimate/1554222_0/gallery_5fc70dcda4bf7.jpg,N
300,1250377,13475874,/data/estimate/1250377_0/gallery_5fc70dcfc94bd.jpg,N
301,1082948,13475912,/data/estimate/1082948_0/gallery_5fc70e0950e29.jpg,N
302,1666243,13475979,/data/estimate/1666243_0/gallery_5fc70e7a11e2e.jpg,N
303,1687103,13475996,/data/estimate/1687103_0/gallery_5fc70e9821661.jpg,N
304,1687103,13475996,/data/estimate/1687103_0/gallery_5fc70e98ae81c.jpg,N
305,1687103,13475996,/data/estimate/1687103_0/gallery_5fc70e994b467.jpg,N
306,1576738,13476057,/data/estimate/1576738_0/gallery_5fc70efa62185.jpg,N
307,1621515,13476143,/data/estimate/1621515_0/gallery_5fc70f75700f0.jpg,N
308,701986,13476258,/data/estimate/701986_0/gallery_5fc7103bddad0.jpg,N
309,1516055,13476270,/data/estimate/1516055_0/gallery_5fc7104b17d0e.jpg,N
310,997362,13476362,/data/estimate/997362_0/gallery_5fc710e0e5984.jpg,N
311,938111,13476643,/data/estimate/938111_0/gallery_5fc712565b7c7.jpg,N
312,938111,13476643,/data/estimate/938111_0/gallery_5fc71256e7d3d.jpg,N
313,1603122,13476645,/data/estimate/1603122_0/gallery_5fc7125b06435.jpg,N
314,342189,13476749,/data/estimate/342189_0/gallery_5fc7132728ea1.jpg,N
315,1237436,13476763,/data/estimate/1237436_0/gallery_5fc71337f0d7f.jpg,N
316,1149328,13476872,/data/estimate/1149328_0/gallery_5fc713bb6b99f.jpg,N
317,250189,13476923,/data/estimate/250189_0/gallery_5fc713fce0e2b.jpg,N
318,947067,13476949,/data/estimate/947067_0/gallery_5fc7142926ab7.jpg,N
319,1538751,13477030,/data/estimate/1538751_0/gallery_5fc7148c1a1f8.jpg,N
320,1538751,13477030,/data/estimate/1538751_0/gallery_5fc714907f6a5.jpg,N
321,1214193,13477046,/data/estimate/1214193_0/gallery_5fc714a18994c.jpg,N
322,1538749,13477097,/data/estimate/1538749_0/gallery_5fc714ef47451.jpg,N
